,name,date,time code,loc,wea,datetimelabel
2198,black kite,20230411,27,Jubilee,sunny,20230411_27
2199,black kite,20230411,29,Jubilee,sunny,20230411_29
2200,oriental magpie robin,20230411,29,Jubilee,sunny,20230411_29
2201,house crow,20230411,30,Jubilee,sunny,20230411_30
2202,black kite,20230411,34,Jubilee,sunny,20230411_34
2203,jungle myna,20230411,35,Jubilee,sunny,20230411_35
2204,black kite,20230411,35,Jubilee,sunny,20230411_35
2205,black kite,20230411,40,Jubilee,sunny,20230411_40
2206,large billed crow,20230411,41,Jubilee,sunny,20230411_41
2207,black kite,20230411,42,Jubilee,sunny,20230411_42
2208,black kite,20230411,43,Jubilee,sunny,20230411_43
2209,large billed crow,20230411,44,Jubilee,sunny,20230411_44
2210,black kite,20230411,44,Jubilee,sunny,20230411_44
2211,large billed crow,20230411,45,Jubilee,sunny,20230411_45
2212,black kite,20230411,45,Jubilee,sunny,20230411_45
2213,large billed crow,20230411,47,Jubilee,sunny,20230411_47
2214,black kite,20230411,47,Jubilee,sunny,20230411_47
2215,large billed crow,20230411,48,Jubilee,sunny,20230411_48
2216,large billed crow,20230411,49,Jubilee,sunny,20230411_49
2217,black kite,20230411,50,Jubilee,sunny,20230411_50
2218,large billed crow,20230411,51,Jubilee,sunny,20230411_51
2219,large billed crow,20230411,52,Jubilee,sunny,20230411_52
2220,large billed crow,20230411,53,Jubilee,sunny,20230411_53
2221,black kite,20230411,53,Jubilee,sunny,20230411_53
2222,large billed crow,20230411,54,Jubilee,sunny,20230411_54
2223,large billed crow,20230411,4,Jubilee,sunny,20230411_4
2224,black kite,20230411,13,Jubilee,sunny,20230411_13
2225,black kite,20230411,14,Jubilee,sunny,20230411_14
2226,black kite,20230411,15,Jubilee,sunny,20230411_15
2227,black kite,20230411,20,Jubilee,sunny,20230411_20
2228,black kite,20230411,21,Jubilee,sunny,20230411_21
2229,large billed crow,20230411,21,Jubilee,sunny,20230411_21
2230,black kite,20230411,22,Jubilee,sunny,20230411_22
2231,black kite,20230411,23,Jubilee,sunny,20230411_23
2232,large billed crow,20230411,23,Jubilee,sunny,20230411_23
2233,black kite,20230411,24,Jubilee,sunny,20230411_24
2234,black kite,20230411,25,Jubilee,sunny,20230411_25
2235,black kite,20230411,27,Jubilee,sunny,20230411_27
2236,black kite,20230411,29,Jubilee,sunny,20230411_29
2237,black kite,20230411,34,Jubilee,sunny,20230411_34
2238,black kite,20230411,35,Jubilee,sunny,20230411_35
2239,black kite,20230411,40,Jubilee,sunny,20230411_40
