Index,File,Time,Battery (V),Temperature (C),Comment
37,20231019_070105.WAV,2023-10-19T07:01:05+05:30,4.1,24.0,Recorded at 07:01:05 19/10/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.1V and temperature was 24.0C. Recording stopped due to switch position change.
38,20231115_065930.WAV,2023-11-15T06:59:30+05:30,4.0,24.4,Recorded at 06:59:30 15/11/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.0V and temperature was 24.4C. Recording stopped due to switch position change.
39,20231116_065836.WAV,2023-11-16T06:58:36+05:30,4.0,23.3,Recorded at 06:58:36 16/11/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.0V and temperature was 23.3C. Recording stopped due to switch position change.
40,20231117_070333.WAV,2023-11-17T07:03:33+05:30,4.0,25.2,Recorded at 07:03:33 17/11/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.0V and temperature was 25.2C. Recording stopped due to switch position change.
41,20231206_070645.WAV,2023-12-06T07:06:45+05:30,4.0,23.6,Recorded at 07:06:45 06/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 4.0V and temperature was 23.6C. Recording stopped due to switch position change.
42,20231207_070620.WAV,2023-12-07T07:06:20+05:30,3.9,24.4,Recorded at 07:06:20 07/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 24.4C. Recording stopped due to switch position change.
43,20231208_070207.WAV,2023-12-08T07:02:07+05:30,3.9,23.9,Recorded at 07:02:07 08/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 23.9C. Recording stopped due to switch position change.
44,20231219_070354.WAV,2023-12-19T07:03:54+05:30,3.9,23.3,Recorded at 07:03:54 19/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 23.3C. Recording stopped due to switch position change.
45,20231220_070205.WAV,2023-12-20T07:02:05+05:30,3.9,22.8,Recorded at 07:02:05 20/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 22.8C. Recording stopped due to switch position change.
46,20231221_070456.WAV,2023-12-21T07:04:56+05:30,3.9,22.0,Recorded at 07:04:56 21/12/2023 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 22.0C. Recording stopped due to switch position change.
47,20240109_070239.WAV,2024-01-09T07:02:39+05:30,3.9,23.7,Recorded at 07:02:39 09/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 23.7C. Recording stopped due to switch position change.
48,20240110_070425.WAV,2024-01-10T07:04:25+05:30,3.9,21.2,Recorded at 07:04:25 10/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 21.2C. Recording stopped due to switch position change.
49,20240111_070310.WAV,2024-01-11T07:03:10+05:30,3.9,23.7,Recorded at 07:03:10 11/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 23.7C. Recording stopped due to switch position change.
50,20240124_070345.WAV,2024-01-24T07:03:45+05:30,3.9,25.5,Recorded at 07:03:45 24/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 25.5C. Recording stopped due to switch position change.
51,20240125_070402.WAV,2024-01-25T07:04:02+05:30,3.9,24.7,Recorded at 07:04:02 25/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 24.7C. Recording stopped due to switch position change.
52,20240126_070159.WAV,2024-01-26T07:01:59+05:30,3.9,21.0,Recorded at 07:01:59 26/01/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 21.0C. Recording stopped due to switch position change.
53,20240206_070134.WAV,2024-02-06T07:01:34+05:30,3.9,25.6,Recorded at 07:01:34 06/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 25.6C. Recording stopped due to switch position change.
54,20240207_070533.WAV,2024-02-07T07:05:33+05:30,3.8,23.6,Recorded at 07:05:33 07/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 23.6C. Recording stopped due to switch position change.
55,20240208_070640.WAV,2024-02-08T07:06:40+05:30,3.8,24.2,Recorded at 07:06:40 08/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 24.2C. Recording stopped due to switch position change.
56,20240222_070552.WAV,2024-02-22T07:05:52+05:30,3.9,26.0,Recorded at 07:05:52 22/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.9V and temperature was 26.0C. Recording stopped due to switch position change.
57,20240223_070720.WAV,2024-02-23T07:07:20+05:30,3.8,24.8,Recorded at 07:07:20 23/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 24.8C. Recording stopped due to switch position change.
58,20240224_070520.WAV,2024-02-24T07:05:20+05:30,3.8,25.6,Recorded at 07:05:20 24/02/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 25.6C. Recording stopped due to switch position change.
59,20240304_070108.WAV,2024-03-04T07:01:08+05:30,3.8,25.8,Recorded at 07:01:08 04/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 25.8C. Recording stopped due to switch position change.
60,20240304_080419.WAV,2024-03-04T08:04:19+05:30,3.8,29.1,Recorded at 08:04:19 04/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 29.1C. Recording stopped due to switch position change.
61,20240304_080422.WAV,2024-03-04T08:04:22+05:30,3.8,28.3,Recorded at 08:04:22 04/03/2024 (UTC+5:30) by AudioMoth 2474750661DA293A at medium gain while battery was 3.8V and temperature was 28.3C. Recording stopped due to switch position change.
